id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,city,country,state,zip
6967655,https://www.boattrader.com/listing/2019-tracker-grizzly-1860-cc-sportsman-103494702/,power,power-jon,Tracker,Grizzly 1860 CC Sportsman,2019,new,19.5,7,1440,2019-01-24T12:17:36.000Z,aluminum,,1,90,,,outboard,Laredo,US,TX,78041
6967662,https://www.boattrader.com/listing/2019-tracker-pro-team-175-txw-103494707/,power,power-bass,Tracker,Pro Team 175 TXW,2019,new,17.58,7.42,1050,2019-01-24T12:17:37.000Z,aluminum,,1,75,,,outboard-4s,Springfield,US,MO,65807
6967695,https://www.boattrader.com/listing/2019-tracker-pro-guide-v-175-combo-103494727/,power,power-aluminum,Tracker,Pro Guide V-175 Combo,2019,new,17.58,8.08,1525,2019-01-24T12:17:42.000Z,aluminum,,1,150,,,outboard,Columbia,US,MO,65202
6967701,https://www.boattrader.com/listing/2019-tracker-topper-1036-riveted-jon-103494770/,power,power-jon,Tracker,Topper 1036 Riveted Jon,2019,new,9.83,4.33,112,2019-01-24T12:17:43.000Z,aluminum,,1,0,,,outboard,Morganton,US,NC,28680
6967712,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-24-dlx-103494756/,power,power-pontoon,Sun Tracker,"Fishin' Barge 24 DLX",2019,new,26.17,8.5,2095,2019-01-24T12:17:45.000Z,aluminum,,1,150,,,outboard,Bristol,US,TN,37621
6967724,https://www.boattrader.com/listing/2019-tracker-pro-guide-v-165-wt-103494745/,power,power-aluminum,Tracker,Pro Guide V-165 WT,2019,new,16.75,8.08,1516,2019-01-24T12:17:46.000Z,aluminum,,1,115,,,outboard,Corbin,US,KY,40701
6967723,https://www.boattrader.com/listing/2019-tracker-targa-v-18-wt-103494749/,power,power-aluminum,Tracker,Targa V-18 WT,2019,new,18.17,8.5,2060,2019-01-24T12:17:46.000Z,aluminum,,1,150,,,outboard,Olathe,US,KS,66061
6967749,https://www.boattrader.com/listing/2019-lowe-ultra-160-cruise-103494791/,power,power-pontoon,Lowe,Ultra 160 Cruise,2019,new,17.83,8,1605,2019-01-24T12:28:11.000Z,aluminum,gasoline,1,25,,,outboard,LA GRANGE,US,GA,30241
6967759,https://www.boattrader.com/listing/2019-lowe-ultra-160-cruise-103494794/,power,power-pontoon,Lowe,Ultra 160 Cruise,2019,new,17.83,8,1605,2019-01-24T12:31:04.000Z,aluminum,gasoline,1,25,,,outboard,LA GRANGE,US,GA,30241
6968050,https://www.boattrader.com/listing/2019-lowe-sf214-sport-fish-103495502/,power,power-pontoon,Lowe,SF214 Sport Fish,2019,new,21.33,8.5,1701,2019-01-24T15:16:51.000Z,aluminum,gasoline,1,50,,,outboard,LA GRANGE,US,GA,30241
6968102,https://www.boattrader.com/listing/2018-lowe-ultra-200-cruise-103495525/,power,power-pontoon,Lowe,Ultra 200 Cruise,2018,new,21.33,8,1780,2019-01-24T16:07:18.000Z,aluminum,gasoline,1,40,,,outboard,LA GRANGE,US,GA,30241
6968104,https://www.boattrader.com/listing/2018-lowe-ultra-200-cruise-103495527/,power,power-pontoon,Lowe,Ultra 200 Cruise,2018,new,21.33,8,1780,2019-01-24T16:11:12.000Z,aluminum,gasoline,1,40,,,outboard,LA GRANGE,US,GA,30241
6968105,https://www.boattrader.com/listing/2018-lowe-ultra-200-cruise-103495528/,power,power-pontoon,Lowe,Ultra 200 Cruise,2018,new,21.33,8,1780,2019-01-24T16:14:19.000Z,aluminum,gasoline,1,40,,,outboard,LA GRANGE,US,GA,30241
6968106,https://www.boattrader.com/listing/2018-lowe-ultra-200-cruise-103495529/,power,power-pontoon,Lowe,Ultra 200 Cruise,2018,new,21.33,8,1780,2019-01-24T16:17:14.000Z,aluminum,gasoline,1,40,,,outboard,LA GRANGE,US,GA,30241
6968107,https://www.boattrader.com/listing/2018-lowe-ultra-200-cruise-103495530/,power,power-pontoon,Lowe,Ultra 200 Cruise,2018,new,21.33,8,1780,2019-01-24T16:20:22.000Z,aluminum,gasoline,1,40,,,outboard,LA GRANGE,US,GA,30241
6968109,https://www.boattrader.com/listing/2018-lowe-ultra-202-fish-cruise-103495531/,power,power-pontoon,Lowe,Ultra 202 Fish & Cruise,2018,new,21.33,8,1792,2019-01-24T16:26:45.000Z,aluminum,gasoline,1,40,,,outboard,LA GRANGE,US,GA,30241
6835309,https://www.boattrader.com/listing/2019-explorer-hudson-bay-50-103416743/,power,power-motor,Explorer,Hudson Bay 50,2019,new,50,15.42,,2018-09-07T09:49:49.000Z,fiberglass,diesel,2,1430,,,inboard,Southeast,US,FL,33004
6954252,https://www.boattrader.com/listing/1998-grady-white-30-marlin-103485895/,power,power-sportfish,Grady-White,30 Marlin,1998,used,30,10.58,,2019-01-11T07:21:39.000Z,fiberglass,gasoline,2,500,2006,2006,outboard,Kemah,US,TX,77565
6959803,https://www.boattrader.com/listing/2019-blazer-2170-103489483/,power,power-center,Blazer,2170,2019,new,20,8.5,,2019-01-17T15:10:56.000Z,aluminum,gasoline,1,150,,,outboard,Kingston,US,OK,73439
6961577,https://www.boattrader.com/listing/2019-blazer-2400-103490824/,power,power-center,Blazer,2400,2019,new,20,8.5,,2019-01-18T11:55:13.000Z,fiberglass,gasoline,1,300,,,outboard,Kingston,US,OK,73439
6961592,https://www.boattrader.com/listing/2019-g3-2066-wof-103490832/,power,power-aluminum,G3,2066 WOF,2019,new,20,8.5,,2019-01-18T11:59:52.000Z,aluminum,gasoline,1,90,,,outboard,Kingston,US,OK,73439
6961665,https://www.boattrader.com/listing/2019-g3-angler-v16-f-103490884/,power,power-aluminum,G3,Angler V16 F,2019,new,20,8.5,,2019-01-18T12:45:46.000Z,aluminum,gasoline,1,90,,,outboard,Kingston,US,OK,73439
6961683,https://www.boattrader.com/listing/2019-g3-angler-v17-sf-103490895/,power,power-aluminum,G3,Angler V17 SF,2019,new,20,8.5,,2019-01-18T12:53:50.000Z,aluminum,gasoline,1,150,,,outboard,Kingston,US,OK,73439
6961718,https://www.boattrader.com/listing/2019-g3-angler-v19-sf-103490919/,power,power-aluminum,G3,Angler V19 SF,2019,new,20,8.5,,2019-01-18T13:07:07.000Z,aluminum,gasoline,1,200,,,outboard,Kingston,US,OK,73439
