id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state
6870929,https://www.boattrader.com/listing/2019-scout-275-lxf-103432534/,power,power-sportfish,Scout,275 Lxf,2019,new,27,9,5300,2018-10-10T08:17:54.000Z,fiberglass,gasoline,2,400,,,outboard,,Baltimore,US,MD
7218636,https://www.boattrader.com/listing/2017-tracker-topper-1436-riveted-jon-boat-103677113/,power,power-util,Tracker,Topper 1436 Riveted Jon Boat,2017,used,13.83,4.42,113,2019-09-14T08:20:50.000Z,aluminum,gasoline,1,15,2013,2013,outboard-4s,2950,Port Canaveral,US,FL
7166882,https://www.boattrader.com/listing/2020-pursuit-s-408-sport-103638193/,power,power-center,Pursuit,S 408 Sport,2020,new,40,13,22685,2019-08-01T07:27:53.000Z,fiberglass,gasoline,3,1275,,,outboard,,Stuart,US,FL
7225112,https://www.boattrader.com/listing/2005-sea-ray-270-amberjack-103681644/,power,power-sportfish,Sea Ray,270 Amberjack,2005,used,27,8.6,,2019-09-20T11:51:40.000Z,fiberglass,gasoline,1,0,,,other,39900,fort myers,US,FL
7225216,https://www.boattrader.com/listing/2010-nautica-16-jet-103681725/,power,power-rib,Nautica,16 Jet,2010,used,16,,,2019-09-20T13:02:59.000Z,fiberglass,gasoline,1,165,,,inboard,14250,naples,US,FL
7073727,https://www.boattrader.com/listing/2008-rampage-41-express-103573083/,power,power-mega,Rampage,41 Express,2008,used,41,16,30000,2019-05-06T11:10:22.000Z,fiberglass,diesel,2,1430,2008,2008,inboard-outboard,484900,Huron,US,OH
6874164,https://www.boattrader.com/listing/2020-scout-235-xsf-103434826/,power,power-sportfish,Scout,235 XSF,2020,new,23,8.5,3655,2018-10-12T11:38:16.000Z,fiberglass,gasoline,1,300,,,outboard,,Baltimore,US,MD
7254631,https://www.boattrader.com/listing/2006-sea-ray-175-sport-103703107/,power,power-runabout,Sea Ray,175 Sport,2006,used,17.5,7,2100,2019-10-17T21:32:06.000Z,fiberglass,gasoline,1,135,2006,2006,,18900,Eufaula,US,AL
7254589,https://www.boattrader.com/listing/2019-carolina-skiff-198-dlv-103703106/,power,power-center,Carolina Skiff,198 DLV,2019,new,19,8,1660,2019-10-17T19:57:02.000Z,fiberglass,gasoline,1,90,2019,2019,outboard-4s,30000,Eufaula,US,AL
7251088,https://www.boattrader.com/listing/2014-sailfish-270-cc-103701471/,power,power-center,Sailfish,270 CC,2014,used,27,9,4050,2019-10-15T11:10:56.000Z,fiberglass,gasoline,2,400,2014,2014,outboard,90000,Boca Raton,US,FL
6379778,https://www.boattrader.com/listing/2019-sea-ray-sdx-250-103436761/,power,power-other,Sea Ray,SDX 250,2019,new,25,8.5,5301,2017-09-25T10:21:34.000Z,fiberglass,gasoline,1,300,,,,,Port Clinton,US,OH
7254886,https://www.boattrader.com/listing/1993-custom-blue-fin-103703104/,power,power-center,Custom,blue fin,1993,used,13,,,2019-10-18T05:19:09.000Z,fiberglass,,0,,,,,5200,tequesta,US,FL
7254630,https://www.boattrader.com/listing/2020-epic-e2-2100-bay-103703105/,power,power-bay,Epic,E2 2100 Bay,2020,new,21,8.42,,2019-10-17T21:17:49.000Z,other,gasoline,1,150,2020,2020,outboard-4s,39050,Eufaula,US,AL
7107347,https://www.boattrader.com/listing/2012-hydra-sports-3000-center-console-103598170/,power,power-center,Hydra-Sports,3000 Center Console,2012,used,30,9.67,7904,2019-06-08T08:46:41.000Z,fiberglass,gasoline,2,600,,,outboard-4s,129900,Key Largo,US,FL
7150650,https://www.boattrader.com/listing/1990-blackfin-conbi-25-103626711/,power,power-cuddy,Blackfin,Conbi 25,1990,used,25,8,5160,2019-07-17T12:58:35.000Z,fiberglass,gasoline,2,300,2003,2003,outboard-4s,41500,NEWPORT,US,NC
7099401,https://www.boattrader.com/listing/2011-boston-whaler-200-dauntless-103639854/,power,power-sportfish,Boston Whaler,200 Dauntless,2011,used,20,8.42,2400,2019-05-31T13:37:32.000Z,fiberglass,gasoline,1,200,,,outboard,41949,Jacksonville,US,FL
7254626,https://www.boattrader.com/listing/2020-epic-22sws-103703103/,power,power-bay,Epic,22SWS,2020,new,22,8.5,,2019-10-17T20:51:06.000Z,fiberglass,gasoline,1,250,2020,2020,outboard-4s,59500,Eufaula,US,AL
6823549,https://www.boattrader.com/listing/2019-crest-i-fish-220-103478849/,power,power-pontoon,Crest,I Fish 220,2019,new,22,,,2018-08-28T11:53:44.000Z,aluminum,gasoline,1,115,,,outboard,,Cumming,US,GA
7226032,https://www.boattrader.com/listing/2012-sea-ray-280-sundancer-103682334/,power,power-cruiser,Sea Ray,280 Sundancer,2012,used,28.67,8.83,,2019-09-21T15:00:19.000Z,fiberglass,gasoline,1,300,,,,89500,Sunny Isles Beach,US,FL
7164163,https://www.boattrader.com/listing/2014-grady-white-307-freedom-103638385/,power,power-expresscruiser,Grady-White,307 Freedom,2014,used,30,10.58,7850,2019-07-30T11:46:05.000Z,fiberglass,gasoline,2,600,2014,2014,outboard-4s,172000,Dania Beach,US,FL
7156165,https://www.boattrader.com/listing/2020-sea-ray-sdx-290-outboard-103680396/,power,power-other,Sea Ray,SDX 290 Outboard,2020,new,29,,,2019-07-23T13:16:03.000Z,fiberglass,gasoline,2,500,,,outboard,,Naples,US,FL
6933594,https://www.boattrader.com/listing/2019-lund-1975-pro-v-103471338/,power,power-aluminum,Lund,1975 Pro-v,2019,new,19.83,8.33,1940,2018-12-10T15:26:29.000Z,aluminum,gasoline,1,200,,,outboard,49995,Tafton,US,PA
6980123,https://www.boattrader.com/listing/2019-crownline-e-255-surf-103503528/,power,power-bowrider,Crownline,E 255 Surf,2019,new,25.5,8.5,,2019-02-06T15:13:36.000Z,fiberglass,gasoline,1,350,,,inboard-outboard,95995,Tafton,US,PA
6933593,https://www.boattrader.com/listing/2019-lund-1600-rebel-ss-103471335/,power,power-aluminum,Lund,1600 Rebel SS,2019,new,16.5,6.42,,2018-12-10T15:23:01.000Z,aluminum,gasoline,1,50,,,outboard-4s,16499,Tafton,US,PA
6949914,https://www.boattrader.com/listing/2019-crownline-e-235-103483060/,power,power-deck,Crownline,E 235,2019,new,23.08,8.5,5100,2019-01-07T10:29:01.000Z,fiberglass,gasoline,1,250,,,inboard-outboard,63000,Tafton,US,PA
7141050,https://www.boattrader.com/listing/2019-lund-1875-impact-sport-103620303/,power,power-aluminum,Lund,1875 Impact Sport,2019,new,18.91,8,,2019-07-08T12:59:06.000Z,aluminum,gasoline,1,150,,,outboard-4s,39995,Tafton,US,PA
6876734,https://www.boattrader.com/listing/2019-marlago-37ss-103437168/,power,power-center,Marlago,37SS,2019,new,37,9.42,9800,2018-10-15T14:11:43.000Z,fiberglass,gasoline,2,700,2019,2019,outboard-4s,289450,Fort Lauderdale,US,FL
7057588,https://www.boattrader.com/listing/2005-jupiter-31-center-console-103560682/,power,power-center,Jupiter,31 Center Console,2005,used,31,9.5,8360,2019-04-21T07:43:31.000Z,fiberglass,gasoline,2,500,,,,89900,OSTERVILLE,US,MA
7253109,https://www.boattrader.com/listing/2017-tidewater-230-cc-adventure-103701939/,power,power-center,Tidewater,230 CC Adventure,2017,used,23,8.83,,2019-10-16T16:48:10.000Z,fiberglass,gasoline,1,250,,,outboard,67000,Palatka,US,FL
