id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,country,state
7203905,https://www.boattrader.com/listing/2016-tahoe-fish-500-tf-103666950/,power,power-bowrider,Tahoe,Fish 500 TF,2016,used,19.1,7.06,,2019-09-03T14:48:33.000Z,fiberglass,gasoline,1,0,,,,23995,45004,US,TX
7136402,https://www.boattrader.com/listing/2018-ranger-rt188-103617302/,power,power-sportfish,Ranger,RT188,2018,new,18.8,8,,2019-07-02T14:23:23.000Z,fiberglass,gasoline,1,0,,,outboard,23495,66930,US,FL
7223366,https://www.boattrader.com/listing/2014-epic-boats-22sc-103680389/,power,power-center,Epic Boats,22SC,2014,used,22.06,8.06,,2019-09-19T08:43:30.000Z,fiberglass,gasoline,1,0,,,outboard,34995,45000,US,TX
7241945,https://www.boattrader.com/listing/2008-bennington-n61219a-103694700/,power,power-pontoon,Bennington,N61219A,2008,used,22,,,2019-10-06T16:46:52.000Z,aluminum,gasoline,1,0,,,,21995,31870,US,OH
6981570,https://www.boattrader.com/listing/2019-wellcraft-302-fisherman-103504435/,power,power-center,Wellcraft,302 Fisherman,2019,new,30.16,9.67,6700,2019-02-07T14:38:32.000Z,other,gasoline,2,1100,,,outboard,222988,10363,US,FL
7135280,https://www.boattrader.com/listing/2009-triton-12-explorer-103616322/,power,power-sportfish,Triton,12 EXPLORER,2009,used,17,,,2019-07-02T11:23:11.000Z,fiberglass,gasoline,1,0,,,,14995,31870,US,OH
7214438,https://www.boattrader.com/listing/2018-crest-250-savannah-103674172/,power,power-pontoon,Crest,250 Savannah,2018,used,25,,,2019-09-11T11:04:36.000Z,other,gasoline,1,300,,,outboard,69619,44133,US,MO
7203947,https://www.boattrader.com/listing/2015-sea-doo-21-fc-103666973/,power,power-pwc,Sea-Doo,21 FC,2015,used,21,8.06,,2019-09-03T14:50:42.000Z,fiberglass,gasoline,1,0,,,,14995,10106,US,TX
7203887,https://www.boattrader.com/listing/2011-sea-ray-210-slx-103666913/,power,power-bowrider,Sea Ray,210 SLX,2011,used,21,8.06,,2019-09-03T14:48:33.000Z,fiberglass,gasoline,1,0,,,,18995,45004,US,TX
7238057,https://www.boattrader.com/listing/2019-sea-ray-19-spx-103692099/,power,power-bowrider,Sea Ray,19 SPX,2019,used,19.06,8,,2019-10-02T16:52:48.000Z,fiberglass,gasoline,1,0,,,,35995,45000,US,TX
7156226,https://www.boattrader.com/listing/2013-edgewater-245-cx-103630412/,power,power-dualconsole,Edgewater,245 CX,2013,used,24.5,8.5,3550,2019-07-23T14:05:47.000Z,fiberglass,gasoline,1,0,,,outboard,83985,17943,US,AL
7261889,https://www.boattrader.com/listing/2011-skeeter-bass-boats-fx21-103708997/,power,power-other,Skeeter,Bass Boats FX21,2011,used,20.11,8,,2019-10-24T17:21:51.000Z,fiberglass,gasoline,1,0,,,outboard,42995,10106,US,TX
7256294,https://www.boattrader.com/listing/2017-sun-tracker-22-pb-dlx-103704920/,power,power-pontoon,Sun Tracker,22 PB DLX,2017,used,24.02,8.6,,2019-10-19T09:11:57.000Z,aluminum,gasoline,1,0,,,outboard,22995,45004,US,TX
7225889,https://www.boattrader.com/listing/2016-crest-250-cs-103682237/,power,power-pontoon,Crest,250 CS,2016,used,25.08,8.06,,2019-09-21T08:39:42.000Z,aluminum,gasoline,1,0,,,outboard,69995,31870,US,OH
7123502,https://www.boattrader.com/listing/2019-key-west-250-br-103608123/,power,power-bowrider,Key West,250 BR,2019,new,26.03,9.03,,2019-06-21T11:04:00.000Z,fiberglass,gasoline,1,0,,,outboard,82949,45004,US,TX
7134896,https://www.boattrader.com/listing/2019-bennington-s-22ssr-103615903/,power,power-pontoon,Bennington,S 22SSR,2019,new,22.11,8.6,,2019-07-02T09:38:10.000Z,aluminum,gasoline,1,0,,,outboard,39580,31870,US,OH
7208942,https://www.boattrader.com/listing/2008-tahoe-215-cc-103670067/,power,power-deck,Tahoe,215 CC,2008,used,22,,,2019-09-07T17:18:37.000Z,fiberglass,gasoline,1,0,,,other,17998,35234,US,AL
