id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,city,country,state,zip
7193789,https://www.boattrader.com/listing/2020-g3-sportsman-103658261/,power,power-fresh,G3,Sportsman,2020,new,18,,,2019-08-23T13:28:24.000Z,other,other,1,Kingston,US,OK,73439
7193790,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658262/,power,power-pontoon,SunCatcher,V Series,2020,new,24,,,2019-08-23T13:28:24.000Z,other,other,1,Kingston,US,OK,73439
7193786,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658258/,power,power-pontoon,SunCatcher,V Series,2020,new,24,,,2019-08-23T13:28:23.000Z,other,other,1,Kingston,US,OK,73439
7193795,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658269/,power,power-pontoon,SunCatcher,V Series,2020,new,24,,,2019-08-23T13:28:25.000Z,other,other,1,Kingston,US,OK,73439
7194134,https://www.boattrader.com/listing/2020-seaark-procat-240-103658514/,power,power-other,SeaArk,ProCat 240,2020,new,24,,,2019-08-23T23:08:20.000Z,other,other,1,Kingston,US,OK,73439
7201164,https://www.boattrader.com/listing/2020-yamaha-boats-waverunner-gp-103663753/,power,power-pwc,Yamaha Boats,WAVERUNNER GP,2020,new,8,,,2019-08-30T23:12:53.000Z,other,other,1,Kingston,US,OK,73439
7213648,https://www.boattrader.com/listing/2020-g3-gator-tough-103673607/,power,power-jon,G3,Gator Tough,2020,new,18,,,2019-09-10T23:15:10.000Z,other,other,1,Kingston,US,OK,73439
7193791,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658263/,power,power-pontoon,SunCatcher,V Series,2020,new,22,,,2019-08-23T13:28:24.000Z,other,other,1,Kingston,US,OK,73439
7193799,https://www.boattrader.com/listing/2020-g3-sportsman-103658265/,power,power-fresh,G3,Sportsman,2020,new,16,,,2019-08-23T13:28:25.000Z,other,other,1,Kingston,US,OK,73439
7194139,https://www.boattrader.com/listing/2020-g3-sportsman-103658523/,power,power-fresh,G3,Sportsman,2020,new,16,,,2019-08-23T23:08:22.000Z,other,other,1,Kingston,US,OK,73439
7193748,https://www.boattrader.com/listing/2019-suncatcher-x-series-103658133/,power,power-pontoon,SunCatcher,X Series,2019,new,24,,,2019-08-23T13:28:17.000Z,other,other,1,Kingston,US,OK,73439
7193698,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658065/,power,power-pontoon,SunCatcher,V Series,2019,new,22,,,2019-08-23T13:28:12.000Z,other,other,1,Kingston,US,OK,73439
7193746,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658118/,power,power-pontoon,SunCatcher,V Series,2019,new,16,,,2019-08-23T13:28:17.000Z,other,other,1,Kingston,US,OK,73439
7193749,https://www.boattrader.com/listing/2019-suncatcher-x-series-103658135/,power,power-pontoon,SunCatcher,X Series,2019,new,22,,,2019-08-23T13:28:17.000Z,other,other,1,Kingston,US,OK,73439
7193750,https://www.boattrader.com/listing/2019-g3-bay-103658132/,power,power-bay,G3,BAY,2019,new,22,,,2019-08-23T13:28:18.000Z,other,other,1,Kingston,US,OK,73439
7193744,https://www.boattrader.com/listing/2019-suncatcher-elite-series-103658131/,power,power-pontoon,SunCatcher,Elite Series,2019,new,26,,,2019-08-23T13:28:17.000Z,other,other,1,Kingston,US,OK,73439
7193732,https://www.boattrader.com/listing/2019-g3-sportsman-103658134/,power,power-fresh,G3,Sportsman,2019,new,17,,,2019-08-23T13:28:16.000Z,other,other,1,Kingston,US,OK,73439
7193747,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658130/,power,power-pontoon,SunCatcher,V Series,2019,new,20,,,2019-08-23T13:28:17.000Z,other,other,1,Kingston,US,OK,73439
7193702,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658061/,power,power-pontoon,SunCatcher,V Series,2019,new,20,,,2019-08-23T13:28:12.000Z,other,other,1,Kingston,US,OK,73439
